AÃ‘O|AMBOS_SEXOS|VARONES|MUJERES
2010|3028481|1405566|1622915
2011|3033639|1409835|1623804
2012|3038860|1414105|1624755
2013|3044076|1418339|1625737
2014|3049229|1422507|1626722
2015|3054267|1426582|1627685
2016|3059122|1430531|1628591
2017|3063728|1434323|1629405
2018|3068043|1437936|1630107
2019|3072029|1441350|1630679
2020|3075646|1444545|1631101
2021|3078836|1447495|1631341
2022|3081550|1450179|1631371
2023|3083770|1452588|1631182
2024|3085483|1454716|1630767
2025|3086680|1456560|1630120
2026|3087338|1458111|1629227
2027|3087434|1459359|1628075
2028|3086973|1460309|1626664
2029|3085971|1460970|1625001
2030|3084450|1461355|1623095
2031|3082415|1461471|1620944
2032|3079869|1461324|1618545
2033|3076845|1460932|1615913
2034|3073375|1460312|1613063
2035|3069488|1459479|1610009
2036|3065183|1458434|1606749
2037|3060454|1457173|1603281
2038|3055302|1455695|1599607
2039|3049723|1453997|1595726
2040|3043704|1452069|1591635
